dream,archetype
"I was house sitting for a family member. I walked to the house, which was actually a long walk, along a dirt path. Ahead of me was a deer chasing a grizzly bear. My walking speed matched their running speed. I entered the house and started turning on lights as it was getting dark quickly. I went to the back door to find a black bear napping in what looked like a large mud room. The pets inside the house were all panicking. I tried to secure the house but the black bear found a way in through a door I didn't know about. I ran to the basement to find several family members watching television. When I told them a bear was in the house they panicked. I went back upstairs, grabbed the bear by the scruff of his neck and dragged it outside.",hero
"I'm driving a car in a world I am familiar with, it's a video game world, more specifically the Grand Theft Auto world. (I’ve never really played the game by the way, IF I played it, my time was spent driving around legally, not even speeding. So it’s safe to say I haven’t really played it) I realize the cops are chasing me, no small amount of cops, cars and policemen on foot. I'm an evil man (woman in real life btw which is interesting as well), a criminal. I drive fast and recklessly and I’m running through several doors, up and down stairs….Soon I've gotten rid of the cops, they're not after me anymore. I'm in an empty house that’s still being built, it’s basically still just an iron structure (similar to the one in The Dark Knight when Batman and Joker battle)…I'm not alone, Aragorn (Lord of the Rings) is there fighting me and he has a sword, I also have a sword. We are hanging on iron pillars and fencing. I get a hold of his sword and I kick him off the building, I watch him fall while I hang there. When he hits the ground I look up at the building, there I see millions of faces / heads on the building - like manikin heads. I instantly know it’s me, my face, but instead of it being my own real life face, I'm the Joker (Joker 2020 version) with a disgusting grin on its face. ;  Background_Info: Most times when I have a nightmare I am running away from evil, or in some other way trying to escape evil. This time I was evil running away from heroes. I loved the Joker 2020 movie. ;  Wakeup_State: __ ###",jester
"I was in a huge house with a bunch of friends, some of whom I recognized. It was pretty obvious that we were there to party and it seemed like a cabin in the woods. At one point, we talk about going onto the roof and the staircase is a spiral going up at least 10 floors on the outside. One of the women seems to speed up it like sonic the hedgehog in front of me. On the roof, it’s obvious we are in a mountain town and it’s lit with string lights and super pretty. An old man comes up from what seems to be a ladder on the side of the building on the other side from us and he motions to us saying something like, hey is this yours? He seems like a grounds keeper or building manager. We walk over and there’s a few benches with towels and unwrapped (but really neatly laid) condoms on them. I said something like “no, that must have been the people here before us?” And I had this grossed out feeling. He acts a bit funny about it, seems to be mad at us and then leaves. We keep talking and then he appears again right in front of us coming over onto the roof but this time he seems like he’s turned into an alien with a squid-like face. One of the guy leans down towards him and all of a sudden I become the alien and I shoot my tentacles at his mouth, punch a hole I. The back of his head and rip his mouth off to where there’s just a gaping black hole where it used to be but no blood. ;  Background_Info: Overall I only have wild, violent dreams and stopped dreaming for years until I read Alchemy: an introduction to the symbolism and psychology. I often feel I’m half awake and just following the journey and don’t wake up anxious or stressed, usually just super weirded out. ;  Wakeup_State: __ ###",explorer
"In my dream I saw a blonde girl. She was cute; not the most attractive person, but for some reason she appealed to me more than many beauties. She was dressed in a very simple way, her clothes were light blue and pink. She was a magician. She invited me to join a club she belonged to herself. In this club magicians could meet, talk, spend time together. I was tempted to join, but I was not ready to commit myself, because that would mean I'd have to attend the first meeting immediately, so I just said I would consider it for next time. She was slightly disappointed.",wizard
"I visit the town and I walk along the street with someone Idk (but do in this dream). I realise something is wrong and that all of the shops now have weird names. Still their names but either with a night/dream pun or some night/dream logo. The person idk (Let’s call him P, I guess) sat on a bench and I ask them wth is going on, they confirm it was my town but that it’s called Whoville now. Very confused, we walk into this shop. The manager is walking around shouting ‘Make sure […] don’t fall asleep in my shop!’. Some guy looks drunk and as if he’s going to fall asleep. P helps him out of the shop and he’s grateful. Soon after, the shops begin to close and the place looks dark and gloomy. All the shops looked as if they were abandoned. Broken windows, lights, and cafés had food laying around. People walking around went into different shops. A group of women were in this café next to me and began eating. Quickly, they all collapsed. P complains that this is just like ‘so and so shop’ and that people just shouldn’t take the risk anymore! I quickly realised that they were all dead. (For some reason) I and P break the windows of a real estate shop and see this very old, short man with black hair and small glasses. He wore old fashioned but fancy clothes. We talk to him for a bit, ask him questions etc. Turns out that you can either leave your shop in view or hide it. If you leave it in view you can leave a light on to let people know […]. He said that it was stupid and he would never do that. He continues to talk and I look over to see candles lit at a window. I quickly blew them out so that he wouldn’t notice. They came back. I repeated this until I ran to a lever that hid the shop. All of the windows were now gone, replaced by wood. The man ran out back and we followed. (Idk what happened next) ((THIS IS THE PART I REMEMBER DREAMING ABOUT BEFORE)) He gives in and starts talking about the town and his childhood. Under this shop, there was a huge cavern. As a kid, he and some townsfolk went down there (for some reason). All of a sudden, he found this girl around his age. She wore a gorgeous blue dress and bonnet with white trim. They talked and talked and they had a great time. The town and he all had to escape the cavern and he begged the girl to come. He dragged her up all the scaffolding with the town. Just as they reached the door back into the shop, part of the scaffolding was gone. The town (already on the other side) tried to help but there wasn’t much they could do. He held onto her and she begged him to leave her here and he jumped successfully to the door. He said ‘We made it!’. But then the girl, still in his arms, said that she wasn’t finished here yet and like a snake slithered out of his arms and fell back into the cavern. The man said that he had stayed there for years hoping to finally be able to save that girl. I and P both nodded toward each other and we went out the back door and began our climb down into the cavern, the man not far behind us. With our flashlights, we looked around for ages. Eventually, we found the girl who wore the same blue dress. The man was ecstatic and began to talk to her. All was well until all of a sudden she began to transform into this huge snake-like creature (with small legs and she was still wearing the dress). (I don’t remember why but) She began to attack us. Quickly, we ran back up the scaffolding and into the shop. She slithered her way up and partially through the door. ;  Background_Info: I’ve had this dream before. It probably isn’t exactly the same but it’s still the same dream. ;  Wakeup_State: __ ###",everyman
"I was 17-18 so about 15-16 years ago. One of my best friends and I were walking on a plato along the ocean the plato was orangish redish like the Grand Canyon colorful flowers beautiful clear sky the ocean was calm and crystal clear you could easily see all the coral and tropical fish even though the table of the plato was a good way above the water, basically imagin the most beautiful ocean seen you possibly could. So my friend and I are walking smoking a joint and talking “can’t remember a thing about the conversation” anyway I decide I’m jumping off the plato and tell my buddy he agrees it’s the right thing to do so we jump. It was as amazing as I thought it would be everything was so pretty. Then a dolphin swam close to us and let us pet it I decided I’m riding this damn thing so I grab it’s top fin and away we go he took me all over showing me all the beautiful things it was great I was having such a good time after a while I thought man I’m hogging the dolphin Marky needs to do this too so we go back to my friend and I let him have a turn. That’s when it went down I guess the dolphin didn’t like my buddy cause he started ramming him knocking him out of the water and there’s nothing I can do I have no weapon and you can’t fight a dolphin in water with no weapon and win so I’m terrified my buddies limp body just getting thrashed and nothing I can do about it then I woke up. So it went from probably the best dream I’ve ever had directly into one of the scariest dreams I’ve ever had.",creator
"Came to discover that I was being asked to participate in a wedding, and I came to find out that it was my wife, or someone like her, getting married at the church my ex-wife and I used to attend. There was an apartment full of my ex-wife and her siblings, but they weren’t her real siblings. They were in the process of moving out of the apartment. I was there, frantically going from person to person, trying to figure out what was going on. It seemed to everyone like the most natural thing in the world, and my vehement protest was viewed as outlandish and inappropriate. I was distraught and desperately tried to make them see. “What is going on!?” Then I was riding a horse through a sort of natural area, a national park. I saw that some belts had been discarded. I picked one up like a whip. I rode my horse downhill. It was hilly country, with grass and water and a view of a far distant country at a lower elevation. Then I was back at the apartment. There was a Asian person there, of ambiguous gender. I asked this person to come back to the bedroom with the aim of seducing them. They didn’t know what I wanted and they got uncomfortable and finally said “oh, for some reason I thought you wanted to...” then my ex-wife’s sister came back (but not the real one) and we looked out the back window to see that there was a small prototype fighter jet being worked on by a couple of people, a woman and some children. “Jet fuel?” I asked. “That would be your low-grade test fuel,” the sister replied matter-of-factly.",lover
I dreamed about my dad giving me a ride to my doctors appointment. The time was 2:08PM. We saw red lights flashing at the railroad crossing. Dad stopped at the railroad crossing and waited for the train. We looked left and right to see if the freight train was approaching. Dad thought about going through. He did a U-Turn and went a different direction to the doctors office. We arrived at the doctors office. Dad walked ahead of me upstairs to the doctors office. I lost sight of him. I ran up the first flight of stairs then I heard footsteps thinking it was my dad walking up the steps but it was someone else. When I was about halfway up the steps I heard them announce my name on the Public Announcement System. I reached the 3rd floor where the doctors office was located I saw old clients sitting in their chairs.,hero
"I dream that I’m back in my childhood bedroom. It’s not the only bedroom I had in childhood, but it is the one in the home we shared with him, and the room I had through my most formative years. The room is barren, but I’m painting it a baby blue color. Suddenly I notice he’s in the room with me; I’m not sure when he came in, but when I turn around he’s painting over my blue with a dark red. I start screaming “Stop! Can’t you see I’m trying to paint it blue? Why can’t you see that? Stop!” He ignores me, and suddenly the bat I used to play softball with in the time I lived there is in my hands. I start hitting him with it, and I’m crying and saying “Please stop painting it red, I’m trying to paint it blue.” I can feel the resistance of my bat hitting him, I’m swinging as hard as I can, but I never see it hurting him. He continues to standing facing away from me as I hit him. ;  Background_Info:  I have a reoccurring dream about the man who used to molest me as a teenager and I need help to understand what it means, I feel like there has to be a reason I keep having it. ;  Wakeup_State: __ ###",everyman
In my dream I wake up and go to my son to get him out of his crib and he has scratches all over his tummy and back and I freak out send a video to my hubby .I go sit on the bed with him and I remember just being so scared in the room. We wind up at some hotel and it’s me and my sisters and hubby and we all just hanging out and I ask him if he has watched the video he hasn’t that he left his phone and I tell him about it and he doest take it serious so I try to leave and I’m in the parking lot and my car is next to another vehicle and it has a walker in between it I assume it was my great grandma because she used a walker ( she has recently passed). I open the door slightly and turn the key and then go to passenger side to get in when I noticed my fiancé turn off the car and say your not leaving . Some more stuff happened the scene changed I was at my grandma house in the backyard and the fish was jumping out the water. ;  Background_Info: So I have weird dreams quite often and they are usually very vivid.  Backstory I don’t know if this could be related to the dream so my son (toddler) has and random scratches on him could be from himself through the night we recently changed diapers due to saving money and we noticed during the day he would scratch his back area where the diaper was. he sometimes has scratches on his head or other places. We have changed back diapers now to see if the diaper was the problem he also has a form of eczema so he has itchy skin at times . I told my husband it freaks me out cause my mom brain over thinks and since he wakes up with them in the morning I think what if a ghost or something. My husband reassures me there is no ghost .   I often dream about the pond of my grandparents backyard but I don’t think it has to much meaning in this dream.  ;  Wakeup_State: __ ###,everyman
"I'm planting potatoes. It seems to be nighttime. I feel lightheaded so I sit down then lay down on the ground. There are other people around. A short older man sees that I need help but thinks I need help getting back up whereas I just need to lay there for a minute so I don't faint. He squeezes me around the chest to try to support me. At first I pretend to accept his help to be nice and start to sit up, but the squeezing makes me feel more lightheaded and I panic thinking I will faint and yell ""Let go! Let go! Let go!"" Or something like that. The man releases his grip immediately but it doesn't seem fast enough. I am still planting potatoes but now it is day time and I'm just with my mom. I am in the process of planting the potatoes at the ends of a row of garden beds. It occurs to me that I hadn't asked my mom if this is okay and they are her garden beds. I ask her and she says it's fine and I can plant them wherever there is room. She asks me how many pounds of potatoes I had grown last year. I said I didn't know because I hadn't weighed them because I remembered I hadn't harvested them all at once but little by little as I thought they were ready. In the dream this seems to be the third year in a row I have planted potatoes.""",everyman
"Some people were torturing a Bison. The animal had its legs tied together and was hanging by its legs so it couldn't defend itself. The primary abuser was a young woman who seemed to be trying to be exceptionally cruel to impress the men, like to show how tough she was. I was witnessing the scene but not in it. I felt shocked and horrified at what I was seeing. Then it was like I was reading about this in a book and I skipped forward in the book to try to get past the torture scene, but landed right at the part where the young woman killed the Bison. She killed it with some metal device that punched a hole in its skull and scrambled its brains.",rebel
I was going to a hair appointment with two friends and I let one drive my car. The car was white with black specks all over it. We arrived at the place and my aunt was there. We let one friend out and we went to park and once we did I got out of the car and couldn’t see because the sun was so bright. I went back for my sunglasses but my friend and my car was gone. I woke up briefly and fell back asleep only to continue the dream. I tried to make it over to my aunt but the place changed and I was wearing some type of mask and couldn’t see well. I also heard some strange music. At some point I had a different phone that I knew wasn’t mine and I didn’t know how to use it. All this in less than 30 mins ;  Background_Info: Dream during a “power nap”  ;  Wakeup_State: __ ###,everyman
It's gotten to the point where I have trouble sleeping and I wake up gagging. There is a brown horse and he's eating. This is in the middle of a huge city. He's eating a beagle puppy. There's blood and guts and u can see muscles. I can also here the puppy crying and moving. I don't do anything I just watch until I wake up. ;  Background_Info: I have been having this recurring dream for about a month now.  ;  Wakeup_State: __ ###,everyman
"I was a fish, I was lost in the sewers, and I was guided by another fish, I believe. I could hear its voice. It led me trough the dirty water, towards the ocean. As we progressed the water got clearer and clearer. I wanted to go back to the human world. I wanted to be human again, to taste human food again and live the joys of being human. Once we managed to emerge in the ocean, it was great. We swam near the surface. The other fish told me: ""now, if you want to go back, fishermen will arrive soon. Just let yourself be captured, it will be quick and you will be reborn in no time."" I felt uneasy. The idea of dying was not so great, after all. I tried to get as far away from the fishermen as possible. I was afraid, because I realized even if I were to die, who can guarantee i will be reborn human, and not a puma, bear or another unfortunate animal?",explorer
"There was a male individual that was ousted from my family for something he didn't do. Rather than siding with my family on this one I believed in him as I knew he could never have done what he was being accused of. At some point, things escalated where my family was planning to chase him away, so the both of us left. We ended up splitting when we left and I somehow ended up in my dad's apartment. No one was present but his wife, and there was a Golden Retriever there. He was filthy, and as I tried to hose him down I could see all the dirt and grime coming off of him. I thought there was no way I could let him stay there. Well, I happened to look around and also saw there was a baby, and the baby needed it's diaper changed. That's when my dads wife came in and I became angry, telling her I was going to take the baby as it was obvious she was unfit to take care of her. She was pretty calm during the whole interaction but tried to take her baby back, but eventually relented and went back to her room while I changed the baby. By the end of it all, I realized that I was just overreacting. At least, in terms of the baby, as it wasn't like she had been crying and put two and two together and figured the baby had probably just made a mess and it wasn't his wife's fault. However, there was definitely no excusing the neglected dog. I went into her room with the baby and apologized, telling her I knew she was a good mom and that I was sorry for attempting to take her baby, that I knew she would never forgive me if I had taken her. His wife told me it was alright, that the reason why she didn't fight so hard is because she knew I would make the right decision. She then told me, for whatever reason, that if I wanted from now on I could come and fold her laundry and she's pay me $1.75 every time I did her laundry. I told her no thanks and was planning to leave with the dog.",hero
"I dreamt that it was night. I was sitting on the passenger side of a vehicle that was parked in front of a house that was recently purchased by someone I knew in my dream. It appeared to be a really nice move-in ready home, however, upon close examination, I could tell that the home was not habitable. The roof was incomplete as I could still see its trusses. It was evident that the home had been assembled quickly without regard. There was a non-occupant vehicle parked next to the vehicle that I was in. Despite the vehicle being new, there were visible scratches. Suddenly, the vehicle that I was in started to roll backwards. I struggled to stop the vehicle, but managed to figure it just moments prior to it rolling in the street . The vehicle's interior was quiet unique, and not at all what I am accustomed to. I couldn't figure out how to drive the vehicle forward towards the house. My husband came along to explain a few things about the vehicle. The dream changed and I was now sitting in the rear. There was a woman sitting in the driver's seat. Without warning the woman transformed into a dark green lizard. I was so frightened that I ran out of the vehicle. I started swimming through the air (a common occurrence in my dreams). Afraid that someone would see me, I sought-after a place that I could swim through the air without being seen.",everyman
"My late husband just screaming bad names at me and is very upset. There is not any violence just a screaming match and I just stand there and take it. In another one, we were out at a park and he was there with someone else and I told him he needed to choose and he chose the other person. Which then led to me screaming at him. One of the things I said was she is only 24! How could you? Then I told him I was going to take everything and I meant everything and then he was like just leave me now. I have had multiple dreams of him having other partners but none ended with him telling me to go. ;  Background_Info: I have had multiple dreams of my late husband. They are not feel good dreams and I remember pieces of them. We had (I think) a stable relationship and we were together for a total of 28 years before he passed away. For the last year of his life I did anything and everything for him, as he was very sick with cancer. These also put me in a funk for a few days after too and makes me grieve for him harder. ;  Wakeup_State: __ ###",lover
